image,name,price,supermarket_name,category
https://metroio.vtexassets.com/arquivos/ids/362176-144-144?v=638180583381630000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Premium Talla XXG 72un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514302-144-144?v=638445441704500000&width=144&height=144&aspect=true,Twopack Pañales para Bebé Babysec Premium Talla XXG 72un ,S/ 116.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/426597-144-144?v=638280593051630000&width=144&height=144&aspect=true,Pañales para Bebé Pampers Premium Care Talla XXG 68un ,S/ 83.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461616-144-144?v=638285968624300000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Super Premium Talla XXG 66un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/418258-144-144?v=638279368080300000&width=144&height=144&aspect=true,Fourpack Toallitas Húmedas Huggies Limpieza Efectiva 48un ,S/ 21.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/497278-144-144?v=638349755009430000&width=144&height=144&aspect=true,Tripack Toallitas Húmedas con Aloe Vera Babysec Ultra 50un ,S/ 10.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/452293-144-144?v=638285171363100000&width=144&height=144&aspect=true,Tripack Toallitas Húmedas Huggies Cuidado 4 en 1 80un ,S/ 36.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514609-144-144?v=638447497565900000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Natural Care Talla XXG 58un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/458142-144-144?v=638285747203900000&width=144&height=144&aspect=true,Pañales Huggies Active Sec XXXG 64un ,S/ 61.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/362164-144-144?v=638180583376330000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Premium Talla XG 72un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/445633-144-144?v=638284518055400000&width=144&height=144&aspect=true,Tripack Pañales para Bebé Pampers Premium Care Talla XXG 68un ,S/ 259.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/484953-144-144?v=638322106395900000&width=144&height=144&aspect=true,PAÑAL PANTS HUGGIES NATURAL CARE XXG X34 ,S/ 45.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461573-144-144?v=638285967272100000&width=144&height=144&aspect=true,Pañales para Bebé para Piscina Pampers Splashers Talla XG 10un ,S/ 15.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/458141-144-144?v=638285747168000000&width=144&height=144&aspect=true,Pañales Huggies Active Sec XXG 66un ,S/ 61.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514608-144-144?v=638447497562000000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Natural Care Talla XG 60un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/443258-144-144?v=638284359167400000&width=144&height=144&aspect=true,Toallitas Húmedas Babysec Super Premium 184un ,S/ 25.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514610-144-144?v=638447497569800000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Natural Care Talla XXXG 54un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/362191-144-144?v=638180583388530000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Super Premium Talla XG 68un ,S/ 62.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/426590-144-144?v=638280592923630000&width=144&height=144&aspect=true,Pañales para Bebé Pampers Premium Care Talla XG 68un ,S/ 83.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/244558-144-144?v=638173936165900000&width=144&height=144&aspect=true,Toallitas Húmedas Huggies Cuidado 4 en 1 184un ,S/ 32.50 ,metro,Cuidado del Bebe
