image,product_brand,name,price,supermarket_name,category
https://plazavea.vteximg.com.br/arquivos/ids/27363518-184-184/20168645.jpg?v=638276835787670000,EL BUEN CORTE,Carne Molida de Res Empacada al vacío EL BUEN ...,S/ 19.80 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363510-184-184/20168641.jpg?v=638276835560300000,EL BUEN CORTE,Bisteck de Res EL BUEN CORTE,S/ 37.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/20372455-184-184/20071091.jpg?v=638023231172000000,BELL'S,Filete de Tilapia BELL'S Bolsa 1Kg,S/ 17.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518435-184-184/980292.jpg?v=637417675951800000,PLAZA VEA,Chuleta de Lomo de Cerdo,S/ 22.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/25707966-184-184/20215620.jpg?v=638121863019970000,SAN FERNANDO,Muslo de Pollo Congelado SAN FERNANDO x kg,S/ 13.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2209486-184-184/20208186.jpg?v=637638671951330000,SAN FERNANDO,Rodaja de Pierna de Pavita SAN FERNANDO Congel...,S/ 12.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363488-184-184/20127190.jpg?v=638276834923500000,EL BUEN CORTE,Panceta de Cerdo con Hueso y Piel EL BUEN CORT...,S/ 19.89 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381017-184-184/980251.jpg?v=637970148378200000,PLAZA VEA,Chuleta de Brazuelo de Cerdo x kg,S/ 21.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/5002510-184-184/20071093.jpg?v=637768218534400000,BELL'S,Filete de Basa BELL'S Bolsa 1Kg,S/ 15.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2209483-184-184/20208191.jpg?v=637638671847470000,SAN FERNANDO,Guiso de Pechuga de Pavita SAN FERNANDO Congel...,S/ 20.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/503123-184-184/651486.jpg?v=637408945038700000,REDONDOS,Enrollado de Pollo REDONDOS con Verduras Paque...,S/ 38.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/28651501-184-184/20390099.jpg?v=638412811661430000,DOM PORQUITO,Tira de Lomo de Cerdo con Panceta y Piel DOM P...,S/ 24.49 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27608202-184-184/20357652.jpg?v=638321925418000000,AHUMA,Alitas AHUMA Sabor BBQ Bolsa 500g,S/ 19.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/26761492-184-184/20206479.jpg?v=638229316449300000,SAN FERNANDO,Pollo Trozado Macerado SAN FERNANDO Asu Olla! ...,S/ 13.40 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/540914-184-184/20206481.jpg?v=637423836978470000,SAN FERNANDO,Pollo Trozado Macerado SAN FERNANDO Asu Olla! ...,S/ 15.49 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1603128-184-184/20139071.jpg?v=637566009070800000,BELL'S,Porciones de Atún BELL'S Bolsa 400g,S/ 26.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/404038-184-184/20089526.jpg?v=637348517173900000,PLAZA VEA,Trucha Eviscerada Congelada,S/ 18.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646608-184-184/20190177.jpg?v=637443540875000000,BIG RANCH,Bife Parrillero Americano BIG RANCH,S/ 65.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381658-184-184/20183684.jpg?v=637970154075070000,ALIPOFRESCO,Mejillones ALIPOFRESCO Paquete 300g,S/ 9.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/404081-184-184/20082849.jpg?v=637348520831070000,SAN FERNANDO,Enrollado de Pierna de Cerdo SAN FERNANDO,S/ 30.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/10256789-184-184/28936.jpg?v=637862430711470000,REDONDOS,Pollipavo con Menudencia REDONDOS,S/ 12.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27669084-184-184/20171105.jpg?v=638331780188230000,FERRER,Combinado de Mariscos FERRER Paella Mix Bandej...,S/ 24.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/20403032-184-184/931086.jpg?v=638023681660070000,PLAZA VEA,Filete de Salmón Congelado x kg,S/ 75.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/20372458-184-184/20145201.jpg?v=638023231265300000,SADIA,Filete de Pechuga Importado SADIA Bolsa 1Kg,S/ 15.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588260-184-184/20220319.jpg?v=637562940995900000,SAN FERNANDO,Filete Pechuga Corte Mariposa Empacada al vací...,S/ 23.50 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588250-184-184/20220318.jpg?v=637562938823630000,SAN FERNANDO,Muslo de Pollo Empacada al vacío SAN FERNANDO,S/ 15.49 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518417-184-184/20062481.jpg?v=637417675387830000,PLAZA VEA,Hígado de Res Importado,S/ 13.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2209484-184-184/20208192.jpg?v=637638671881400000,SAN FERNANDO,Pechuga de Pavita en Trozos SAN FERNANDO Conge...,S/ 17.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/26694837-184-184/20199824.jpg?v=638219809853170000,FROZEN,Filete de Tilapia Premium Congelada Bolsa 1kg,S/ 19.99 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363524-184-184/20168627.jpg?v=638276835942700000,EL BUEN CORTE,Guiso Especial de Res EL BUEN CORTE,S/ 39.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/16381019-184-184/20124483.jpg?v=637970148442500000,EL BUEN CORTE,Chuleta Punta de Lomo de Cerdo EL BUEN CORTE,S/ 13.89 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518406-184-184/953033.jpg?v=637417675008630000,PLAZA VEA,Costillar de Res,S/ 18.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/12410182-184-184/20173738.jpg?v=637903584168400000,AGROSUPER,Porciones de Salmón Atlántico AQUA Bolsa 500g,S/ 48.90 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/646372-184-184/20110600.jpg?v=637443528808400000,PLAZA VEA,Filete de Salmón Fresco Importado,S/ 75.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/2458304-184-184/20073719.jpg?v=637680241907770000,PLAZA VEA,Costillar Entero de Cerdo Importado,S/ 19.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27146281-184-184/20352671.jpg?v=638255235678770000,REDONDOS,REDONDOS Cerdo Sabor Oriental Bolsa 530g,S/ 22.50 un,plazavea,"Carnes, aves y pescados"
