image,product_brand,name,price,supermarket_name,category
https://s7d2.scene7.com/is/image/TottusPE/42531608_2?wid=240&hei=240&qlt=70,QUAKER,Avena Quaker Tradicional 900g,S/ 15.70,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/41523103_1?wid=240&hei=240&qlt=70,CORN FLAKES,Cereal Corn Flakes sin gluten de 800 g,S/ 24.20,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42756819_2?wid=240&hei=240&qlt=70,3 OSITOS,Avena Premium 3 Ositos Precocida de 900 g,S/ 11.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/10171145_1?wid=240&hei=240&qlt=70,QUAKER,Avena Quaker Oaks Quick 42oz,S/ 31.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/43153688_2?wid=240&hei=240&qlt=70,QUAKER,Avena Quaker Con Chía Y Al garrobo 330 g,S/ 8.60,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42151661_2?wid=240&hei=240&qlt=70,FITNESS,Cereal Fitness Original Nestlé 570 g,S/ 27.50,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42756589_2?wid=240&hei=240&qlt=70,3 OSITOS,Quinua Avena Hojuela 3 Ositos Precocida 900g,S/ 12.30,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42151662_2?wid=240&hei=240&qlt=70,FITNESS,Cereal de Miel y Almendras Fitness Nestlé 330 g,S/ 19.70,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42688405_1?wid=240&hei=240&qlt=70,CHOCAPIC,Cereal Chocapic Chocolate Nestlé de 540 g,S/ 24.50,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42151663_2?wid=240&hei=240&qlt=70,FITNESS,Cereal en hojuelas con pasas y coco Fitness de 330 g,S/ 19.70,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/40765296_1?wid=240&hei=240&qlt=70,TOTTUS,Mermelada de Fresa Barril Tottus 1 kg,S/ 12.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42857124_4?wid=240&hei=240&qlt=70,NESCAFE,Café instantáneo Nescafé Fina Selección de 200 g,S/ 26.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42780005_2?wid=240&hei=240&qlt=70,KIRMA,Café Kirma Clásico 150 gr,S/ 14.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42828874_2?wid=240&hei=240&qlt=70,NESCAFE,Café instantáneo Nescafé Tradición 250 g,S/ 27.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/20029143_2?wid=240&hei=240&qlt=70,SPITZE,Algarrobina Spitze 800 g,S/ 19.20,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42063130_1?wid=240&hei=240&qlt=70,DOLCE GUSTO,Café Caramel Macchiato de Starbucks en 12 cápsulas,S/ 42.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/10256363_2?wid=240&hei=240&qlt=70,,Miel de Abeja la Reyna de Oxapampa 750 g,S/ 34.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/10164575_1?wid=240&hei=240&qlt=70,MC COLINS,Té Canela y Clavo Mc Colin's 100 Filtrantes,S/ 10.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/41051667_2?wid=240&hei=240&qlt=70,TOTTUS,Granola con Frutos del Bosque 350 g,S/ 12.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/42113900_2?wid=240&hei=240&qlt=70,GLORIA,Mermelada de fresa Gloria de 1 kg,S/ 14.10,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/40546554_2?wid=240&hei=240&qlt=70,TOTTUS,Azúcar Rubia Tottus 5 kg,S/ 20.90,tottus,Desayunos
https://s7d2.scene7.com/is/image/TottusPE/41454769_1?wid=240&hei=240&qlt=70,CAFETAL,Café tostado y molido Cafetal Selecto 900 gr,S/ 43.20,tottus,Desayunos
